iter	Passed	Remaining
0	42	42229
1	84	42058
2	122	40670
3	165	41218
4	210	41823
5	254	42223
6	298	42350
7	341	42345
8	384	42373
9	427	42351
10	471	42363
11	514	42371
12	559	42467
13	602	42460
14	647	42548
15	691	42504
16	733	42431
17	774	42277
18	818	42285
19	862	42239
20	904	42160
21	947	42136
22	989	42035
23	1033	42015
24	1075	41929
25	1118	41907
26	1160	41829
27	1203	41768
28	1246	41724
29	1288	41646
30	1330	41581
31	1372	41532
32	1419	41607
33	1461	41524
34	1505	41498
35	1546	41421
36	1589	41381
37	1631	41312
38	1673	41245
39	1715	41181
40	1757	41115
41	1799	41044
42	1842	41016
43	1883	40932
44	1925	40861
45	1967	40800
46	2010	40757
47	2051	40691
48	2094	40641
49	2135	40572
50	2177	40514
51	2219	40459
52	2262	40429
53	2303	40358
54	2350	40392
55	2393	40344
56	2435	40296
57	2477	40233
58	2519	40176
59	2561	40127
60	2602	40067
61	2649	40091
62	2691	40033
63	2733	39975
64	2775	39918
65	2816	39852
66	2859	39821
67	2902	39783
68	2943	39719
69	2985	39658
70	3026	39596
71	3067	39534
72	3107	39465
73	3148	39404
74	3191	39364
75	3232	39304
76	3273	39242
77	3314	39174
78	3357	39143
79	3398	39086
80	3439	39023
81	3481	38975
82	3522	38915
83	3565	38882
84	3607	38833
85	3650	38793
86	3691	38739
87	3732	38682
88	3779	38682
89	3825	38680
90	3868	38643
91	3915	38646
92	3960	38621
93	3999	38550
94	4039	38482
95	4081	38432
96	4122	38375
97	4168	38365
98	4214	38355
99	4257	38317
100	4305	38319
101	4345	38257
102	4388	38221
103	4429	38160
104	4476	38160
105	4518	38108
106	4560	38058
107	4601	38007
108	4644	37962
109	4686	37916
110	4729	37877
111	4776	37870
112	4823	37861
113	4866	37823
114	4909	37779
115	4953	37748
116	4994	37696
117	5035	37639
118	5075	37578
119	5120	37549
120	5165	37521
121	5205	37462
122	5245	37403
123	5293	37398
124	5335	37347
125	5378	37305
126	5418	37246
127	5459	37190
128	5501	37143
129	5545	37111
130	5586	37061
131	5636	37065
132	5679	37023
133	5721	36974
134	5762	36919
135	5808	36897
136	5854	36880
137	5895	36825
138	5936	36771
139	5979	36729
140	6022	36687
141	6063	36634
142	6104	36581
143	6145	36529
144	6187	36483
145	6230	36443
146	6270	36387
147	6317	36366
148	6366	36358
149	6408	36317
150	6449	36260
151	6491	36213
152	6531	36159
153	6573	36113
154	6615	36067
155	6658	36022
156	6701	35980
157	6741	35925
158	6787	35902
159	6829	35856
160	6872	35812
161	6913	35760
162	6956	35723
163	6997	35669
164	7042	35637
165	7083	35586
166	7126	35546
167	7170	35512
168	7212	35466
169	7258	35437
170	7300	35393
171	7342	35347
172	7385	35307
173	7426	35254
174	7467	35203
175	7510	35163
176	7551	35112
177	7594	35072
178	7635	35020
179	7681	34991
180	7722	34944
181	7767	34912
182	7809	34865
183	7850	34814
184	7892	34770
185	7933	34721
186	7974	34670
187	8024	34657
188	8064	34604
189	8105	34556
190	8146	34506
191	8189	34462
192	8231	34419
193	8272	34367
194	8314	34324
195	8355	34275
196	8396	34226
197	8437	34174
198	8480	34135
199	8521	34084
200	8564	34043
201	8604	33991
202	8645	33941
203	8685	33890
204	8726	33841
205	8773	33818
206	8816	33773
207	8857	33727
208	8902	33694
209	8950	33672
210	8991	33622
211	9032	33575
212	9073	33525
213	9115	33480
214	9156	33430
215	9197	33383
216	9237	33331
217	9285	33307
218	9327	33262
219	9370	33222
220	9412	33177
221	9458	33146
222	9500	33102
223	9542	33059
224	9585	33015
225	9625	32965
226	9667	32919
227	9708	32871
228	9752	32834
229	9793	32787
230	9834	32739
231	9875	32689
232	9917	32646
233	9957	32596
234	9999	32551
235	10042	32508
236	10084	32465
237	10124	32414
238	10168	32376
239	10212	32339
240	10253	32291
241	10294	32244
242	10336	32199
243	10376	32150
244	10418	32104
245	10461	32064
246	10502	32018
247	10544	31974
248	10587	31931
249	10626	31880
250	10667	31833
251	10708	31786
252	10749	31737
253	10789	31688
254	10835	31655
255	10878	31615
256	10918	31567
257	10959	31519
258	11003	31482
259	11044	31433
260	11087	31393
261	11128	31345
262	11168	31297
263	11208	31248
264	11251	31207
265	11296	31171
266	11338	31127
267	11380	31083
268	11420	31035
269	11462	30991
270	11505	30949
271	11547	30906
272	11588	30859
273	11629	30813
274	11673	30774
275	11713	30726
276	11757	30688
277	11797	30640
278	11839	30595
279	11880	30550
280	11921	30502
281	11961	30455
282	12004	30414
283	12045	30368
284	12087	30325
285	12128	30279
286	12169	30233
287	12211	30188
288	12253	30145
289	12293	30097
290	12339	30064
291	12379	30016
292	12420	29970
293	12461	29923
294	12501	29876
295	12544	29836
296	12585	29789
297	12626	29743
298	12673	29712
299	12714	29666
300	12757	29626
301	12800	29585
302	12843	29543
303	12883	29495
304	12924	29449
305	12965	29404
306	13006	29360
307	13055	29333
308	13096	29287
309	13136	29239
310	13178	29195
311	13218	29147
312	13261	29107
313	13302	29062
314	13342	29015
315	13384	28972
316	13429	28935
317	13470	28889
318	13513	28847
319	13553	28800
320	13596	28760
321	13639	28719
322	13679	28672
323	13723	28632
324	13764	28588
325	13806	28545
326	13849	28502
327	13889	28456
328	13929	28409
329	13970	28364
330	14014	28324
331	14054	28278
332	14095	28233
333	14137	28190
334	14177	28143
335	14218	28098
336	14259	28053
337	14299	28007
338	14340	27961
339	14381	27916
340	14421	27870
341	14462	27825
342	14510	27794
343	14553	27753
344	14594	27707
345	14634	27661
346	14675	27616
347	14720	27579
348	14760	27532
349	14804	27494
350	14848	27454
351	14890	27412
352	14933	27370
353	14973	27324
354	15014	27279
355	15054	27233
356	15095	27188
357	15136	27144
358	15176	27098
359	15216	27052
360	15260	27013
361	15301	26968
362	15342	26922
363	15383	26878
364	15422	26831
365	15464	26787
366	15506	26745
367	15548	26702
368	15590	26660
369	15633	26618
370	15673	26573
371	15715	26529
372	15755	26485
373	15796	26440
374	15837	26396
375	15878	26352
376	15922	26312
377	15963	26267
378	16004	26224
379	16045	26179
380	16087	26136
381	16127	26091
382	16169	26047
383	16212	26007
384	16256	25968
385	16297	25924
386	16343	25888
387	16387	25849
388	16428	25804
389	16469	25759
390	16509	25714
391	16549	25669
392	16592	25627
393	16633	25582
394	16673	25538
395	16713	25492
396	16754	25448
397	16799	25410
398	16844	25372
399	16885	25328
400	16930	25290
401	16971	25245
402	17012	25201
403	17055	25160
404	17095	25115
405	17137	25073
406	17177	25027
407	17222	24988
408	17263	24945
409	17303	24900
410	17344	24855
411	17385	24812
412	17425	24767
413	17467	24723
414	17507	24679
415	17549	24636
416	17590	24592
417	17630	24547
418	17671	24503
419	17712	24460
420	17754	24417
421	17797	24376
422	17841	24336
423	17888	24301
424	17930	24259
425	17970	24213
426	18011	24170
427	18052	24125
428	18093	24082
429	18135	24039
430	18175	23994
431	18216	23950
432	18256	23906
433	18298	23863
434	18340	23821
435	18381	23777
436	18421	23732
437	18464	23692
438	18505	23648
439	18548	23607
440	18589	23563
441	18630	23519
442	18673	23479
443	18719	23441
444	18761	23398
445	18802	23355
446	18843	23311
447	18884	23268
448	18925	23224
449	18965	23180
450	19005	23135
451	19047	23092
452	19087	23048
453	19129	23005
454	19169	22961
455	19210	22918
456	19251	22873
457	19292	22831
458	19335	22789
459	19376	22745
460	19416	22701
461	19461	22662
462	19507	22625
463	19549	22582
464	19591	22540
465	19631	22496
466	19672	22452
467	19713	22408
468	19754	22366
469	19795	22322
470	19841	22285
471	19882	22241
472	19923	22198
473	19966	22156
474	20006	22112
475	20050	22072
476	20091	22028
477	20132	21985
478	20173	21942
479	20213	21898
480	20254	21854
481	20298	21815
482	20341	21773
483	20380	21728
484	20425	21689
485	20466	21645
486	20507	21602
487	20548	21558
488	20589	21516
489	20630	21472
490	20673	21430
491	20713	21386
492	20753	21342
493	20798	21303
494	20841	21262
495	20882	21219
496	20923	21175
497	20964	21132
498	21007	21091
499	21048	21048
500	21089	21005
501	21134	20965
502	21175	20923
